timestep,message
37,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
37,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
37,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
39,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
39,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
39,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
39,"[Pogoda] Wiatr: 1.5 km/h | Słońce: 86%
[Produkcja] OZE: 0.2 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 0.2 MW | Stan: CRITICAL"
38,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
1781010524,Predictor: zmiana mocy OZE o 0.1 MW w ciągu 5 kroków
38,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
38,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
40,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
40,"LoadShed: odłączono industrial (priorytet 2, 40.0 MW)"
40,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
40,"[Pogoda] Wiatr: 1.4 km/h | Słońce: 76%
[Produkcja] OZE: 0.2 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 51.0 MW | Bilans: 0.2 MW | Stan: CRITICAL"
39,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
39,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
39,industrial: przydzielono 0.00 / 40.00 MW [LoadShed]
1781010524,Predictor: zmiana mocy OZE o -4.4 MW w ciągu 5 kroków
1781010525,Predictor: zmiana mocy OZE o 4.1 MW w ciągu 5 kroków
41,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
41,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
41,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
41,"[Pogoda] Wiatr: 2.1 km/h | Słońce: 82%
[Produkcja] OZE: 0.4 MW | Konwencjonalna: 0.0 MW | Baterie: 0% (SoC)
[Sieć] Popyt: 41.0 MW | Bilans: 0.4 MW | Stan: CRITICAL"
40,critical: przydzielono 0.00 / 8.00 MW [LoadShed]
40,industrial: przydzielono 0.00 / 30.00 MW [LoadShed]
40,residential: przydzielono 0.00 / 3.00 MW [LoadShed]
1781010525,Predictor: zmiana mocy OZE o -3.7 MW w ciągu 5 kroków
42,"LoadShed: odłączono residential (priorytet 3, 3.0 MW)"
42,"LoadShed: odłączono industrial (priorytet 2, 30.0 MW)"
42,"LoadShed: odłączono critical (priorytet 1, 8.0 MW)"
